;geometry;cluster;centroids
0;{'type': 'Point', 'coordinates': [2.348872, 48.863495]};0.0;POINT (2.322916576523031 48.8675703640416)
1;{'type': 'Point', 'coordinates': [2.396281, 48.864938]};0.0;POINT (2.322916576523031 48.8675703640416)
2;{'type': 'Point', 'coordinates': [2.297082, 48.881103]};0.0;POINT (2.322916576523031 48.8675703640416)
3;{'type': 'Point', 'coordinates': [2.428486, 48.864966]};0.0;POINT (2.322916576523031 48.8675703640416)
5;{'type': 'Point', 'coordinates': [2.283437, 48.829359]};0.0;POINT (2.322916576523031 48.8675703640416)
6;{'type': 'Point', 'coordinates': [2.311352, 48.880878]};0.0;POINT (2.322916576523031 48.8675703640416)
7;{'type': 'Point', 'coordinates': [2.2315, 48.839089]};0.0;POINT (2.322916576523031 48.8675703640416)
8;{'type': 'Point', 'coordinates': [2.334446, 48.856084]};0.0;POINT (2.322916576523031 48.8675703640416)
10;{'type': 'Point', 'coordinates': [2.328344, 48.977069]};0.0;POINT (2.322916576523031 48.8675703640416)
12;{'type': 'Point', 'coordinates': [2.351749, 48.869741]};3.0;POINT (2.518279042780748 48.80550006951871)
13;{'type': 'Point', 'coordinates': [2.362199, 48.873206]};0.0;POINT (2.322916576523031 48.8675703640416)
14;{'type': 'Point', 'coordinates': [2.391248, 48.864765]};0.0;POINT (2.322916576523031 48.8675703640416)
15;{'type': 'Point', 'coordinates': [2.5858119999999998, 48.887076]};3.0;POINT (2.518279042780748 48.80550006951871)
17;{'type': 'Point', 'coordinates': [2.253549, 48.946018]};1.0;POINT (2.002250676190476 48.86037997142857)
18;{'type': 'Point', 'coordinates': [2.334119, 48.910313]};1.0;POINT (2.002250676190476 48.86037997142857)
20;{'type': 'Point', 'coordinates': [2.425833, 48.736633]};3.0;POINT (2.518279042780748 48.80550006951871)
21;{'type': 'Point', 'coordinates': [2.281581, 48.740795]};0.0;POINT (2.322916576523031 48.8675703640416)
22;{'type': 'Point', 'coordinates': [1.970815, 48.793682]};0.0;POINT (2.322916576523031 48.8675703640416)
23;{'type': 'Point', 'coordinates': [1.5418370000000001, 48.941987]};3.0;POINT (2.518279042780748 48.80550006951871)
24;{'type': 'Point', 'coordinates': [2.300865, 48.821218]};0.0;POINT (2.322916576523031 48.8675703640416)
25;{'type': 'Point', 'coordinates': [2.429919, 48.625354]};0.0;POINT (2.322916576523031 48.8675703640416)
26;{'type': 'Point', 'coordinates': [2.353791, 48.932124]};0.0;POINT (2.322916576523031 48.8675703640416)
27;{'type': 'Point', 'coordinates': [2.3941689999999998, 49.003278]};2.0;POINT (2.8888956 48.49346291428571)
28;{'type': 'Point', 'coordinates': [2.426329, 48.845833999999996]};0.0;POINT (2.322916576523031 48.8675703640416)
29;{'type': 'Point', 'coordinates': [2.383044, 48.866483]};0.0;POINT (2.322916576523031 48.8675703640416)
30;{'type': 'Point', 'coordinates': [2.292305, 48.820085]};3.0;POINT (2.518279042780748 48.80550006951871)
31;{'type': 'Point', 'coordinates': [2.343235, 48.752122]};0.0;POINT (2.322916576523031 48.8675703640416)
32;{'type': 'Point', 'coordinates': [2.929848, 48.376625]};0.0;POINT (2.322916576523031 48.8675703640416)
33;{'type': 'Point', 'coordinates': [2.338236, 48.911148]};0.0;POINT (2.322916576523031 48.8675703640416)
34;{'type': 'Point', 'coordinates': [2.416964, 48.992427]};3.0;POINT (2.518279042780748 48.80550006951871)
35;{'type': 'Point', 'coordinates': [2.447598, 48.400474]};0.0;POINT (2.322916576523031 48.8675703640416)
36;{'type': 'Point', 'coordinates': [2.38185, 48.894168]};0.0;POINT (2.322916576523031 48.8675703640416)
38;{'type': 'Point', 'coordinates': [2.332931, 48.858236]};0.0;POINT (2.322916576523031 48.8675703640416)
39;{'type': 'Point', 'coordinates': [2.33144, 48.875234]};3.0;POINT (2.518279042780748 48.80550006951871)
40;{'type': 'Point', 'coordinates': [2.561463, 48.519933]};0.0;POINT (2.322916576523031 48.8675703640416)
41;{'type': 'Point', 'coordinates': [2.296814, 48.832096]};3.0;POINT (2.518279042780748 48.80550006951871)
42;{'type': 'Point', 'coordinates': [2.282955, 48.923582]};0.0;POINT (2.322916576523031 48.8675703640416)
43;{'type': 'Point', 'coordinates': [2.307317, 48.887415]};0.0;POINT (2.322916576523031 48.8675703640416)
44;{'type': 'Point', 'coordinates': [2.269033, 48.981522]};0.0;POINT (2.322916576523031 48.8675703640416)
46;{'type': 'Point', 'coordinates': [2.58444, 48.782922]};0.0;POINT (2.322916576523031 48.8675703640416)
47;{'type': 'Point', 'coordinates': [2.287943, 48.867938]};0.0;POINT (2.322916576523031 48.8675703640416)
48;{'type': 'Point', 'coordinates': [2.525875, 48.844513]};0.0;POINT (2.322916576523031 48.8675703640416)
49;{'type': 'Point', 'coordinates': [2.390212, 48.987009]};1.0;POINT (2.002250676190476 48.86037997142857)
50;{'type': 'Point', 'coordinates': [2.205397, 48.779059]};0.0;POINT (2.322916576523031 48.8675703640416)
51;{'type': 'Point', 'coordinates': [2.188889, 48.782333]};0.0;POINT (2.322916576523031 48.8675703640416)
52;{'type': 'Point', 'coordinates': [2.349546, 48.893917]};0.0;POINT (2.322916576523031 48.8675703640416)
53;{'type': 'Point', 'coordinates': [2.309465, 48.886541]};0.0;POINT (2.322916576523031 48.8675703640416)
54;{'type': 'Point', 'coordinates': [2.274136, 48.819907]};0.0;POINT (2.322916576523031 48.8675703640416)
55;{'type': 'Point', 'coordinates': [2.313024, 48.871983]};0.0;POINT (2.322916576523031 48.8675703640416)
56;{'type': 'Point', 'coordinates': [2.132408, 48.807418]};0.0;POINT (2.322916576523031 48.8675703640416)
57;{'type': 'Point', 'coordinates': [2.247245, 48.716593]};3.0;POINT (2.518279042780748 48.80550006951871)
58;{'type': 'Point', 'coordinates': [2.230273, 48.78781]};1.0;POINT (2.002250676190476 48.86037997142857)
59;{'type': 'Point', 'coordinates': [2.310282, 48.85904]};0.0;POINT (2.322916576523031 48.8675703640416)
61;{'type': 'Point', 'coordinates': [2.306692, 48.861058]};0.0;POINT (2.322916576523031 48.8675703640416)
62;{'type': 'Point', 'coordinates': [2.328707, 48.850943]};0.0;POINT (2.322916576523031 48.8675703640416)
63;{'type': 'Point', 'coordinates': [2.335368, 48.778755]};1.0;POINT (2.002250676190476 48.86037997142857)
64;{'type': 'Point', 'coordinates': [2.292372, 48.856792]};0.0;POINT (2.322916576523031 48.8675703640416)
65;{'type': 'Point', 'coordinates': [2.44375, 48.804107]};0.0;POINT (2.322916576523031 48.8675703640416)
66;{'type': 'Point', 'coordinates': [2.07594, 48.777299]};0.0;POINT (2.322916576523031 48.8675703640416)
67;{'type': 'Point', 'coordinates': [2.3898989999999998, 48.840277]};0.0;POINT (2.322916576523031 48.8675703640416)
68;{'type': 'Point', 'coordinates': [2.3456200000000003, 48.88734]};2.0;POINT (2.8888956 48.49346291428571)
69;{'type': 'Point', 'coordinates': [2.371781, 48.857025]};1.0;POINT (2.002250676190476 48.86037997142857)
70;{'type': 'Point', 'coordinates': [2.309378, 48.960223]};0.0;POINT (2.322916576523031 48.8675703640416)
71;{'type': 'Point', 'coordinates': [2.055762, 49.046133]};0.0;POINT (2.322916576523031 48.8675703640416)
72;{'type': 'Point', 'coordinates': [2.328827, 48.865684]};3.0;POINT (2.518279042780748 48.80550006951871)
73;{'type': 'Point', 'coordinates': [2.301584, 48.866762]};0.0;POINT (2.322916576523031 48.8675703640416)
74;{'type': 'Point', 'coordinates': [2.295079, 48.876144]};0.0;POINT (2.322916576523031 48.8675703640416)
76;{'type': 'Point', 'coordinates': [2.345037, 48.890785]};0.0;POINT (2.322916576523031 48.8675703640416)
77;{'type': 'Point', 'coordinates': [3.012641, 48.735494]};0.0;POINT (2.322916576523031 48.8675703640416)
