Ouverture de la DataFrame...    5.402 s
On ne garde que les données du centre...    0.965 s
On sépare par la Seine...    12.490 s
Clusterisation...    11.265 s
Sauvegarde sur la carte...    0.621 s
Terminé !
         15046718 function calls (15012641 primitive calls) in 30.981 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1476    0.002    0.000    0.023    0.000 <__array_function__ internals>:2(all)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
      492    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(argmin)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
      507    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(atleast_2d)
        6    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(bincount)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      492    0.001    0.000    0.027    0.000 <__array_function__ internals>:2(clip)
        5    0.000    0.000    0.007    0.001 <__array_function__ internals>:2(column_stack)
       35    0.000    0.000    0.008    0.000 <__array_function__ internals>:2(concatenate)
     1267    0.003    0.000    0.008    0.000 <__array_function__ internals>:2(copyto)
      492    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(cumsum)
      959    0.002    0.000    0.028    0.000 <__array_function__ internals>:2(einsum)
      447    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(empty_like)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(insert)
      492    0.001    0.000    0.049    0.000 <__array_function__ internals>:2(isclose)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(moveaxis)
      988    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(ndim)
      279    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(prod)
      492    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(result_type)
      492    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(searchsorted)
    20446    0.030    0.000    0.334    0.000 <__array_function__ internals>:2(sum)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(vstack)
      447    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
      852    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      4/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
     1707    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:389(parent)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:650(_load_unlocked)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
        6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
      6/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      6/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:986(_find_and_load)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
