Ouverture de la DataFrame...
On ne garde que les données du centre...
On sépare par la Seine
Clusterisation...
Sauvegarde sur la carte...
Terminé !
         46068305 function calls (46035909 primitive calls) in 57.801 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1413    0.002    0.000    0.028    0.000 <__array_function__ internals>:2(all)
        3    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
      471    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(argmin)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:2(argsort)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
      483    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(atleast_2d)
        5    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(bincount)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      471    0.001    0.000    0.032    0.000 <__array_function__ internals>:2(clip)
        5    0.000    0.000    0.011    0.002 <__array_function__ internals>:2(column_stack)
       29    0.000    0.000    0.014    0.000 <__array_function__ internals>:2(concatenate)
     1124    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(copyto)
      471    0.001    0.000    0.019    0.000 <__array_function__ internals>:2(cumsum)
      873    0.002    0.000    0.031    0.000 <__array_function__ internals>:2(einsum)
      387    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(empty_like)
        3    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(insert)
      471    0.001    0.000    0.058    0.000 <__array_function__ internals>:2(isclose)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
      946    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(ndim)
      224    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(prod)
      471    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(result_type)
      471    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(searchsorted)
     6104    0.012    0.000    0.149    0.000 <__array_function__ internals>:2(sum)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:2(vstack)
      387    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
      786    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
     1623    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:389(parent)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      4/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:650(_load_unlocked)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
        6    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
      6/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      6/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:986(_find_and_load)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
       26    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      4/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap_external>:777(exec_module)
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:849(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:969(get_data)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.475    0.475   57.838   57.838 <string>:1(<module>)
      650    0.001    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <template>:1(<module>)
        1    0.000    0.000    0.000    0.000 <template>:14(macro)
        1    0.000    0.000    0.000    0.000 <template>:44(macro)
        2    0.000    0.000    0.000    0.000 <template>:5(root)
        1    0.000    0.000    0.000    0.000 <template>:60(macro)
        1    0.000    0.000    0.001    0.001 __init__.py:109(import_module)
       12    0.000    0.000    0.000    0.000 __init__.py:111(_maybe_match_name)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(get_resource_filename)
        2    0.000    0.000    0.005    0.002 __init__.py:1385(get_resource_string)
        2    0.000    0.000    0.001    0.000 __init__.py:1388(has_resource)
       35    0.000    0.000    0.008    0.000 __init__.py:1417(resource_isdir)
       12    0.000    0.000    0.003    0.000 __init__.py:1423(resource_listdir)
       53    0.000    0.000    0.004    0.000 __init__.py:1470(_fn)
       53    0.000    0.000    0.002    0.000 __init__.py:1476(_validate_resource_path)
        2    0.000    0.000    0.000    0.000 __init__.py:1596(_has)
       35    0.000    0.000    0.006    0.000 __init__.py:1599(_isdir)
